lead_time,risk_signal,shap_feature_group,condition_example,recommended_action,responsible_unit,urgency_level,mean_abs_shap
T+3,계절·일사 신호,doy_sin,doy_sin가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,1.2581650018692017
T+3,복합 환경 신호,연도,연도가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,1.0835041999816897
T+3,일반 수질 신호,탁도,탁도가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,0.8837149739265442
T+3,복합 환경 신호,dayofyear,dayofyear가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,0.6317172646522522
T+3,일반 수질 신호,pH,pH가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,0.4599624574184418
T+3,계절·일사 신호,month_sin,month_sin가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,0.4107140600681305
T+3,고온·수온 지속 신호,air_temp_mean_14d,air_temp_mean_14d가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,0.3740541934967041
T+3,강우·건조 펄스 신호,rain_sum_30d,rain_sum_30d가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,0.2758792042732239
T+3,Chl-a 수질 신호,Chl-a (㎎/㎥),Chl-a (㎎/㎥)가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,0.2564933598041534
T+3,고온·수온 지속 신호,water_temp_lag14,water_temp_lag14가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,0.2222131937742233
T+7,계절·일사 신호,doy_sin,doy_sin가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,1.2008819580078125
T+7,일반 수질 신호,탁도,탁도가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,0.891339123249054
T+7,복합 환경 신호,연도,연도가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,0.85216224193573
T+7,계절·일사 신호,month_sin,month_sin가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,0.488934576511383
T+7,복합 환경 신호,dayofyear,dayofyear가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,0.4253425300121307
T+7,고온·수온 지속 신호,air_temp_mean_14d,air_temp_mean_14d가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,0.3292577564716339
T+7,강우·건조 펄스 신호,rain_sum_30d,rain_sum_30d가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,0.2932887971401214
T+7,고온·수온 지속 신호,water_temp_lag14,water_temp_lag14가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,0.2645594477653503
T+7,고온·수온 지속 신호,water_temp_mean_3d,water_temp_mean_3d가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,0.2173319458961486
T+7,Chl-a 수질 신호,chla_roll14,chla_roll14가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,0.2159009724855423
T+10,계절·일사 신호,month_sin,month_sin가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"정수장 선제 대응계획 수립, 인력·장비 배치 계획, 장기 감시 강화",수질관리/댐운영/정수장 협업,준비,1.278876781463623
T+10,복합 환경 신호,연도,연도가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"정수장 선제 대응계획 수립, 인력·장비 배치 계획, 장기 감시 강화",수질관리/댐운영/정수장 협업,준비,0.7135992646217346
T+10,일반 수질 신호,탁도,탁도가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"정수장 선제 대응계획 수립, 인력·장비 배치 계획, 장기 감시 강화",수질관리/댐운영/정수장 협업,준비,0.6906092166900635
T+10,계절·일사 신호,doy_sin,doy_sin가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"정수장 선제 대응계획 수립, 인력·장비 배치 계획, 장기 감시 강화",수질관리/댐운영/정수장 협업,준비,0.6016726493835449
T+10,고온·수온 지속 신호,air_temp_mean_14d,air_temp_mean_14d가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"정수장 선제 대응계획 수립, 인력·장비 배치 계획, 장기 감시 강화",수질관리/댐운영/정수장 협업,준비,0.5737324357032776
T+10,복합 환경 신호,dayofyear,dayofyear가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"정수장 선제 대응계획 수립, 인력·장비 배치 계획, 장기 감시 강화",수질관리/댐운영/정수장 협업,준비,0.4884935915470123
T+10,강우·건조 펄스 신호,rain_sum_30d,rain_sum_30d가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"정수장 선제 대응계획 수립, 인력·장비 배치 계획, 장기 감시 강화",수질관리/댐운영/정수장 협업,준비,0.2867715656757355
T+10,고온·수온 지속 신호,water_temp_lag14,water_temp_lag14가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"정수장 선제 대응계획 수립, 인력·장비 배치 계획, 장기 감시 강화",수질관리/댐운영/정수장 협업,준비,0.2785236239433288
T+10,Chl-a 수질 신호,chla_roll14,chla_roll14가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"정수장 선제 대응계획 수립, 인력·장비 배치 계획, 장기 감시 강화",수질관리/댐운영/정수장 협업,준비,0.260844886302948
T+10,고온·수온 지속 신호,water_temp_mean_3d,water_temp_mean_3d가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"정수장 선제 대응계획 수립, 인력·장비 배치 계획, 장기 감시 강화",수질관리/댐운영/정수장 협업,준비,0.2127626538276672
