lead_time,risk_signal,shap_feature_group,condition_example,recommended_action,responsible_unit,urgency_level,mean_abs_shap
T+7,계절·일사 신호,doy_sin,doy_sin가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,1.0096534352390114
T+7,고온/수온 지속 신호,water_temp_lag7,water_temp_lag7가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,0.9071954895819204
T+7,복합 환경 신호,탁도,탁도가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,0.8039238123403952
T+7,계절·일사 신호,month_sin,month_sin가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,0.5313009305646562
T+7,조류·Chl-a 선행 신호,log_cyano_roll7_max,log_cyano_roll7_max가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,0.4375255445729817
T+7,조류·Chl-a 선행 신호,log_cyano_lag10,log_cyano_lag10가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,0.3081286896788786
T+7,조류·Chl-a 선행 신호,log_cyano_lag1,log_cyano_lag1가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,0.29933425588117185
T+7,계절·일사 신호,doy_cos,doy_cos가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,0.2723415844775295
T+7,복합 환경 신호,dayofyear,dayofyear가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,0.23824823598187986
T+10,조류·Chl-a 선행 신호,log_cyano,log_cyano가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"정수장 선제 대응계획 수립, 인력·장비 배치 계획, 장기 감시 강화",수질관리/댐운영/정수장 협업,준비,2.480912124596178
T+10,계절·일사 신호,month_sin,month_sin가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"정수장 선제 대응계획 수립, 인력·장비 배치 계획, 장기 감시 강화",수질관리/댐운영/정수장 협업,준비,1.4715089934262142
T+10,고온/수온 지속 신호,water_temp_mean_7d,water_temp_mean_7d가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"정수장 선제 대응계획 수립, 인력·장비 배치 계획, 장기 감시 강화",수질관리/댐운영/정수장 협업,준비,1.3757463517029533
T+10,계절·일사 신호,doy_sin,doy_sin가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"정수장 선제 대응계획 수립, 인력·장비 배치 계획, 장기 감시 강화",수질관리/댐운영/정수장 협업,준비,0.8562880715924737
T+10,계절·일사 신호,doy_cos,doy_cos가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"정수장 선제 대응계획 수립, 인력·장비 배치 계획, 장기 감시 강화",수질관리/댐운영/정수장 협업,준비,0.6740149258109851
T+10,복합 환경 신호,dayofyear,dayofyear가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"정수장 선제 대응계획 수립, 인력·장비 배치 계획, 장기 감시 강화",수질관리/댐운영/정수장 협업,준비,0.516480489454937
T+10,복합 환경 신호,탁도,탁도가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"정수장 선제 대응계획 수립, 인력·장비 배치 계획, 장기 감시 강화",수질관리/댐운영/정수장 협업,준비,0.44665035861907765
T+10,조류·Chl-a 선행 신호,log_cyano_roll7,log_cyano_roll7가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"정수장 선제 대응계획 수립, 인력·장비 배치 계획, 장기 감시 강화",수질관리/댐운영/정수장 협업,준비,0.44524224483141744
T+10,조류·Chl-a 선행 신호,log_cyano_lag1,log_cyano_lag1가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"정수장 선제 대응계획 수립, 인력·장비 배치 계획, 장기 감시 강화",수질관리/댐운영/정수장 협업,준비,0.423467836146556
T+10,고온/수온 지속 신호,water_temp_lag7,water_temp_lag7가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"정수장 선제 대응계획 수립, 인력·장비 배치 계획, 장기 감시 강화",수질관리/댐운영/정수장 협업,준비,0.22759125912824643
